bit,information_gain,shapley,p_value_strength
x24_b2,0.0,-4.0142536710979755e+36,3.402823669209385e+38
x25_b0,0.0,-9.738906354413939e+36,3.402823669209385e+38
x25_b1,0.0,-4.406038480568989e+36,3.402823669209385e+38
x25_b2,0.0,-2.0088448376269283e+36,3.402823669209385e+38
x25_b3,0.0,-8.45983147586376e+35,3.402823669209385e+38
x26_b0,0.0,-3.743659567615332e+35,3.402823669209385e+38
x26_b1,0.0,-8.521052935732574e+36,3.402823669209385e+38
x26_b2,0.0,-1.0021768248604741e+36,3.402823669209385e+38
x26_b3,0.0,-5.577583137643425e+36,3.402823669209385e+38
x27_b0,0.0,-7.912324071337388e+35,3.402823669209385e+38
x27_b1,0.0,-7.711716481038403e+35,3.402823669209385e+38
x27_b2,0.0,-1.7096553000930713e+36,3.402823669209385e+38
x27_b3,0.0,-3.381688784718118e+35,3.402823669209385e+38
x27_b4,0.0,-4.490797072981476e+36,3.402823669209385e+38
x28_b0,0.0,-5.286623894421505e+35,3.402823669209385e+38
x28_b1,0.0,-2.659154844758642e+36,3.402823669209385e+38
x28_b2,0.0,-1.4816307198456276e+36,3.402823669209385e+38
x28_b3,0.0,-4.164319130557844e+36,3.402823669209385e+38
x29_b0,0.0,-1.1950422089800265e+36,3.402823669209385e+38
x29_b1,0.0,-3.3347168542031305e+33,3.402823669209385e+38
x29_b2,0.0,-1.131359574796775e+35,3.402823669209385e+38
x29_b3,0.0,-3.398536801503603e+35,3.402823669209385e+38
x30_b0,0.0,-2.1393101593575234e+36,3.402823669209385e+38
x30_b1,0.0,-1.5426471381599744e+36,3.402823669209385e+38
x30_b2,0.0,-1.3359644954217227e+36,3.402823669209385e+38
x30_b3,0.0,-1.0566427699720096e+36,3.402823669209385e+38
x31_b0,0.0,-3.610108479002602e+36,3.402823669209385e+38
x31_b1,0.0,-4.822580381204835e+36,3.402823669209385e+38
x31_b2,0.0,-5.530131156003738e+36,3.402823669209385e+38
x31_b3,0.0,-2.719848065336245e+36,3.402823669209385e+38
x32_b0,0.0,-6.831555475629522e+35,3.402823669209385e+38
x32_b1,0.0,-2.990897057259213e+36,3.402823669209385e+38
x32_b2,0.0,-1.318389335474157e+34,3.402823669209385e+38
