dataset,trees_requested,trees_composed,budget,selector,frontier_leaves,peak_nodes,splits,runtime_seconds,input_bits,labels,run_dir
lupus,10,10,20000,modal,1,505,0,1.0314300000027288,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_10\B_20000\selector_modal
lupus,5,5,20000,modal,1,292,0,1.048942399997031,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_5\B_20000\selector_modal
mammo,10,10,20000,modal,1,1309,0,1.093045000001439,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_10\B_20000\selector_modal
mammo,5,5,20000,modal,1,426,0,1.659878699996625,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_5\B_20000\selector_modal
mofn-3-7-10,10,10,20000,modal,1,881,0,1.2234043999924324,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_10\B_20000\selector_modal
mofn-3-7-10,5,5,20000,modal,1,573,0,1.2110195999994176,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_5\B_20000\selector_modal
new-thyroid,10,10,20000,modal,105,35000,104,4.043163499998627,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_10\B_20000\selector_modal
new-thyroid,5,5,20000,modal,1,9426,0,1.0924654999980703,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_5\B_20000\selector_modal
seismic_bumps,10,10,20000,modal,1626,33898,1625,29.212468700003228,67,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_10\B_20000\selector_modal
seismic_bumps,5,5,20000,modal,1,11936,0,1.5305013000033796,67,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_5\B_20000\selector_modal
spect,10,10,20000,modal,1,5473,0,1.240061099990271,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_10\B_20000\selector_modal
spect,5,5,20000,modal,1,468,0,1.6779348999989452,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_5\B_20000\selector_modal
spectf,5,5,20000,modal,1,9540,0,1.2350775999948382,66,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spectf\trees_5\B_20000\selector_modal
threeOf9,10,10,20000,modal,1,295,0,1.0900422999984585,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_10\B_20000\selector_modal
threeOf9,5,5,20000,modal,1,201,0,1.4881303000001935,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_5\B_20000\selector_modal
wine-recog,5,5,20000,modal,1,1547,0,1.6547696000052383,47,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wine-recog\trees_5\B_20000\selector_modal
wine-recognition,5,5,20000,modal,1,1547,0,1.0946380000095814,47,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wine-recognition\trees_5\B_20000\selector_modal
wpbc,5,5,20000,modal,15,28617,14,1.657966700004181,128,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wpbc\trees_5\B_20000\selector_modal
xd6,10,10,20000,modal,1,520,0,1.090671400001156,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_10\B_20000\selector_modal
xd6,5,5,20000,modal,1,373,0,1.1651550999959,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_5\B_20000\selector_modal
