dataset,trees,budget,selector,status,elapsed_seconds,timeout_seconds,run_dir,message
glass,10,20000,modal,timeout,600.023291599995,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
glass2,5,20000,modal,completed,1.9427787000022363,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_5\B_20000\selector_modal,
glass2,10,20000,modal,completed,2.777013500002795,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\glass2\trees_10\B_20000\selector_modal,
haberman,5,20000,modal,completed,1.8320467000012286,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_5\B_20000\selector_modal,
haberman,10,20000,modal,completed,1.810321599987219,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\haberman\trees_10\B_20000\selector_modal,
heart-c,5,20000,modal,completed,2.3673918999993475,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_5\B_20000\selector_modal,
heart-c,10,20000,modal,completed,81.48312490001263,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-c\trees_10\B_20000\selector_modal,
heart-h,5,20000,modal,completed,1.8871497999934945,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_5\B_20000\selector_modal,
heart-h,10,20000,modal,completed,2.7959842999989633,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-h\trees_10\B_20000\selector_modal,
heart-sa,5,20000,modal,completed,2.020274000009522,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_5\B_20000\selector_modal,
heart-sa,10,20000,modal,completed,77.07420560000173,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\heart-sa\trees_10\B_20000\selector_modal,
ionosphere,5,20000,modal,timeout,600.021880500004,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ionosphere\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
ionosphere,10,20000,modal,timeout,600.0099853000138,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ionosphere\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
iris,5,20000,modal,completed,1.85089319999679,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_modal,
iris,10,20000,modal,completed,1.751446099995519,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_10\B_20000\selector_modal,
karhunen,5,20000,modal,timeout,600.3251429999946,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\karhunen\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
karhunen,10,20000,modal,timeout,600.3275820000126,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\karhunen\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
letter,5,20000,modal,timeout,600.0332144999993,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\letter\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
letter,10,20000,modal,timeout,600.0168581000034,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\letter\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
lupus,5,20000,modal,completed,1.8527099000057206,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_5\B_20000\selector_modal,
lupus,10,20000,modal,completed,1.7536162000033073,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_10\B_20000\selector_modal,
magic,5,20000,modal,timeout,600.1093379999948,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\magic\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
magic,10,20000,modal,timeout,600.2768356000015,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\magic\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
mammo,5,20000,modal,completed,2.8955286999989767,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_5\B_20000\selector_modal,
mammo,10,20000,modal,completed,1.8942837000067811,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_10\B_20000\selector_modal,
messidor,5,20000,modal,timeout,600.0217695000028,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\messidor\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
messidor,10,20000,modal,timeout,600.0095961000043,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\messidor\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
mofn-3-7-10,5,20000,modal,completed,2.023509599996032,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_5\B_20000\selector_modal,
mofn-3-7-10,10,20000,modal,completed,1.9619452000042656,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_10\B_20000\selector_modal,
new-thyroid,5,20000,modal,completed,1.8872828999883495,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_5\B_20000\selector_modal,
new-thyroid,10,20000,modal,completed,5.281615100000636,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_10\B_20000\selector_modal,
pendigits,5,20000,modal,timeout,600.0527928000083,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\pendigits\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
pendigits,10,20000,modal,timeout,600.0129568999982,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\pendigits\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
phoneme,5,20000,modal,timeout,600.4867021999962,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\phoneme\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
phoneme,10,20000,modal,timeout,600.2477887000132,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\phoneme\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
pima,5,20000,modal,timeout,600.1226716999954,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\pima\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
pima,10,20000,modal,timeout,600.1537417999934,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\pima\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
ring,5,20000,modal,timeout,600.0270482999913,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ring\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
ring,10,20000,modal,timeout,600.0322737999959,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ring\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
segmentation,5,20000,modal,timeout,600.0206096000038,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\segmentation\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
segmentation,10,20000,modal,timeout,600.0131865000003,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\segmentation\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
seismic_bumps,5,20000,modal,completed,2.4899082999909297,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_5\B_20000\selector_modal,
seismic_bumps,10,20000,modal,completed,32.251920100010466,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_10\B_20000\selector_modal,
shuttle,5,20000,modal,timeout,600.0310022000049,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\shuttle\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
shuttle,10,20000,modal,timeout,600.0104660999932,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\shuttle\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
sonar,5,20000,modal,timeout,600.0103296999878,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\sonar\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
sonar,10,20000,modal,timeout,600.0189797000057,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\sonar\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
spambase,5,20000,modal,timeout,600.0896419000055,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spambase\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
spambase,10,20000,modal,timeout,600.4007948000071,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spambase\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
spect,5,20000,modal,completed,2.8196629000012763,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_5\B_20000\selector_modal,
spect,10,20000,modal,completed,2.0485005999944406,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_10\B_20000\selector_modal,
spectf,5,20000,modal,completed,2.161038499994902,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spectf\trees_5\B_20000\selector_modal,
spectf,10,20000,modal,timeout,600.0188873000006,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spectf\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
texture,5,20000,modal,timeout,600.0352950000088,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\texture\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
texture,10,20000,modal,timeout,600.0791982000082,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\texture\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
threeOf9,5,20000,modal,completed,2.4786970999994082,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_5\B_20000\selector_modal,
threeOf9,10,20000,modal,completed,1.8904732000082731,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_10\B_20000\selector_modal,
twonorm,5,20000,modal,timeout,600.2016691000026,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\twonorm\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
twonorm,10,20000,modal,timeout,600.0865143999981,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\twonorm\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
