bit,information_gain,shapley,p_value_strength,dataset,trees,budget,selector
x0_b0,0.0,-60777128.75,4294967296.0,banknote,10,20000,modal
x0_b1,0.0,-105440818.9375,4294967296.0,banknote,10,20000,modal
x0_b2,0.0,-88661053.125,4294967296.0,banknote,10,20000,modal
x0_b3,0.0,-249491371.046875,4294967296.0,banknote,10,20000,modal
x0_b4,0.0,-147001882.578125,4294967296.0,banknote,10,20000,modal
x0_b5,0.0,-127637726.4375,4294967296.0,banknote,10,20000,modal
x0_b6,0.0,-68435528.203125,4294967296.0,banknote,10,20000,modal
x0_b7,0.0,-246726265.03125,4294967296.0,banknote,10,20000,modal
x1_b0,0.0,-150007015.921875,4294967296.0,banknote,10,20000,modal
x1_b1,0.0,-115664842.8125,4294967296.0,banknote,10,20000,modal
x1_b2,0.0,-43863569.421875,4294967296.0,banknote,10,20000,modal
x1_b3,0.0,-175869744.234375,4294967296.0,banknote,10,20000,modal
x1_b4,0.0,-112856630.953125,4294967296.0,banknote,10,20000,modal
x1_b5,0.0,-196049580.71875,4294967296.0,banknote,10,20000,modal
x1_b6,0.0,-185419244.84375,4294967296.0,banknote,10,20000,modal
x1_b7,0.0,-103994757.671875,4294967296.0,banknote,10,20000,modal
x2_b0,0.0,-166895826.421875,4294967296.0,banknote,10,20000,modal
x2_b1,0.0,-147716269.234375,4294967296.0,banknote,10,20000,modal
x2_b2,0.0,-162191915.828125,4294967296.0,banknote,10,20000,modal
x2_b3,0.0,-162436499.28125,4294967296.0,banknote,10,20000,modal
x2_b4,0.0,-62164335.6875,4294967296.0,banknote,10,20000,modal
x2_b5,0.0,-141314780.078125,4294967296.0,banknote,10,20000,modal
x2_b6,0.0,-135972851.09375,4294967296.0,banknote,10,20000,modal
x2_b7,0.0,-186454720.765625,4294967296.0,banknote,10,20000,modal
x3_b0,0.0,-65581504.015625,4294967296.0,banknote,10,20000,modal
x3_b1,0.0,-126698691.46875,4294967296.0,banknote,10,20000,modal
x3_b2,0.0,-91545201.53125,4294967296.0,banknote,10,20000,modal
x3_b3,0.0,-75615322.8125,4294967296.0,banknote,10,20000,modal
x3_b4,0.0,-187867500.265625,4294967296.0,banknote,10,20000,modal
x3_b5,0.0,-142436451.9375,4294967296.0,banknote,10,20000,modal
x3_b6,0.0,-98092891.0625,4294967296.0,banknote,10,20000,modal
x3_b7,0.0,-164085372.828125,4294967296.0,banknote,10,20000,modal
x0_b0,0.0,-60777128.75,4294967296.0,banknote,5,20000,modal
x0_b1,0.0,-105440818.9375,4294967296.0,banknote,5,20000,modal
x0_b2,0.0,-88661053.125,4294967296.0,banknote,5,20000,modal
x0_b3,0.0,-249491371.046875,4294967296.0,banknote,5,20000,modal
x0_b4,0.0,-147001882.578125,4294967296.0,banknote,5,20000,modal
x0_b5,0.0,-127637726.4375,4294967296.0,banknote,5,20000,modal
x0_b6,0.0,-68435528.203125,4294967296.0,banknote,5,20000,modal
x0_b7,0.0,-246726265.03125,4294967296.0,banknote,5,20000,modal
x1_b0,0.0,-150007015.921875,4294967296.0,banknote,5,20000,modal
x1_b1,0.0,-115664842.8125,4294967296.0,banknote,5,20000,modal
x1_b2,0.0,-43863569.421875,4294967296.0,banknote,5,20000,modal
x1_b3,0.0,-175869744.234375,4294967296.0,banknote,5,20000,modal
x1_b4,0.0,-112856630.953125,4294967296.0,banknote,5,20000,modal
x1_b5,0.0,-196049580.71875,4294967296.0,banknote,5,20000,modal
x1_b6,0.0,-185419244.84375,4294967296.0,banknote,5,20000,modal
x1_b7,0.0,-103994757.671875,4294967296.0,banknote,5,20000,modal
x2_b0,0.0,-166895826.421875,4294967296.0,banknote,5,20000,modal
x2_b1,0.0,-147716269.234375,4294967296.0,banknote,5,20000,modal
x2_b2,0.0,-162191915.828125,4294967296.0,banknote,5,20000,modal
x2_b3,0.0,-162436499.28125,4294967296.0,banknote,5,20000,modal
x2_b4,0.0,-62164335.6875,4294967296.0,banknote,5,20000,modal
x2_b5,0.0,-141314780.078125,4294967296.0,banknote,5,20000,modal
x2_b6,0.0,-135972851.09375,4294967296.0,banknote,5,20000,modal
x2_b7,0.0,-186454720.765625,4294967296.0,banknote,5,20000,modal
x3_b0,0.0,-65581504.015625,4294967296.0,banknote,5,20000,modal
x3_b1,0.0,-126698691.46875,4294967296.0,banknote,5,20000,modal
x3_b2,0.0,-91545201.53125,4294967296.0,banknote,5,20000,modal
x3_b3,0.0,-75615322.8125,4294967296.0,banknote,5,20000,modal
x3_b4,0.0,-187867500.265625,4294967296.0,banknote,5,20000,modal
x3_b5,0.0,-142436451.9375,4294967296.0,banknote,5,20000,modal
x3_b6,0.0,-98092891.0625,4294967296.0,banknote,5,20000,modal
x3_b7,0.0,-164085372.828125,4294967296.0,banknote,5,20000,modal
x0_b0,0.0,-194939.484375,4194304.0,breast-cancer,10,20000,modal
x0_b1,0.0,-219368.640625,4194304.0,breast-cancer,10,20000,modal
x0_b2,0.0,-105675.453125,4194304.0,breast-cancer,10,20000,modal
x1_b0,0.0,-138503.859375,4194304.0,breast-cancer,10,20000,modal
x1_b1,0.0,-135969.03125,4194304.0,breast-cancer,10,20000,modal
x2_b0,0.0,-129401.1875,4194304.0,breast-cancer,10,20000,modal
x2_b1,0.0,-261452.515625,4194304.0,breast-cancer,10,20000,modal
x2_b2,0.0,-277089.5,4194304.0,breast-cancer,10,20000,modal
x2_b3,0.0,-108982.265625,4194304.0,breast-cancer,10,20000,modal
x3_b0,0.0,-183705.140625,4194304.0,breast-cancer,10,20000,modal
x3_b1,0.0,-359839.171875,4194304.0,breast-cancer,10,20000,modal
x3_b2,0.0,-171200.171875,4194304.0,breast-cancer,10,20000,modal
x3_b3,0.0,-138752.90625,4194304.0,breast-cancer,10,20000,modal
x4_b0,0.0,-203874.421875,4194304.0,breast-cancer,10,20000,modal
x4_b1,0.0,-165566.625,4194304.0,breast-cancer,10,20000,modal
x5_b0,0.0,-212864.9375,4194304.0,breast-cancer,10,20000,modal
x5_b1,0.0,-166542.78125,4194304.0,breast-cancer,10,20000,modal
x6_b0,0.0,-143615.28125,4194304.0,breast-cancer,10,20000,modal
x7_b0,0.0,-147219.3125,4194304.0,breast-cancer,10,20000,modal
x7_b1,0.0,-190895.390625,4194304.0,breast-cancer,10,20000,modal
x7_b2,0.0,-272235.796875,4194304.0,breast-cancer,10,20000,modal
x8_b0,0.0,-266609.125,4194304.0,breast-cancer,10,20000,modal
x0_b0,0.0,-194939.484375,4194304.0,breast-cancer,5,20000,modal
x0_b1,0.0,-219368.640625,4194304.0,breast-cancer,5,20000,modal
x0_b2,0.0,-105675.453125,4194304.0,breast-cancer,5,20000,modal
x1_b0,0.0,-138503.859375,4194304.0,breast-cancer,5,20000,modal
x1_b1,0.0,-135969.03125,4194304.0,breast-cancer,5,20000,modal
x2_b0,0.0,-129401.1875,4194304.0,breast-cancer,5,20000,modal
x2_b1,0.0,-261452.515625,4194304.0,breast-cancer,5,20000,modal
x2_b2,0.0,-277089.5,4194304.0,breast-cancer,5,20000,modal
x2_b3,0.0,-108982.265625,4194304.0,breast-cancer,5,20000,modal
x3_b0,0.0,-183705.140625,4194304.0,breast-cancer,5,20000,modal
x3_b1,0.0,-359839.171875,4194304.0,breast-cancer,5,20000,modal
x3_b2,0.0,-171200.171875,4194304.0,breast-cancer,5,20000,modal
x3_b3,0.0,-138752.90625,4194304.0,breast-cancer,5,20000,modal
x4_b0,0.0,-203874.421875,4194304.0,breast-cancer,5,20000,modal
x4_b1,0.0,-165566.625,4194304.0,breast-cancer,5,20000,modal
x5_b0,0.0,-212864.9375,4194304.0,breast-cancer,5,20000,modal
x5_b1,0.0,-166542.78125,4194304.0,breast-cancer,5,20000,modal
x6_b0,0.0,-143615.28125,4194304.0,breast-cancer,5,20000,modal
x7_b0,0.0,-147219.3125,4194304.0,breast-cancer,5,20000,modal
x7_b1,0.0,-190895.390625,4194304.0,breast-cancer,5,20000,modal
x7_b2,0.0,-272235.796875,4194304.0,breast-cancer,5,20000,modal
x8_b0,0.0,-266609.125,4194304.0,breast-cancer,5,20000,modal
x0_b0,0.0,-5239564752.5625,137438953472.0,bupa,10,20000,modal
x0_b1,0.0,-6761838233.890625,137438953472.0,bupa,10,20000,modal
x0_b2,0.0,-2893253144.65625,137438953472.0,bupa,10,20000,modal
x0_b3,0.0,-4648278797.375,137438953472.0,bupa,10,20000,modal
x0_b4,0.0,-1914070768.5,137438953472.0,bupa,10,20000,modal
x1_b0,0.0,-4248596563.96875,137438953472.0,bupa,10,20000,modal
x1_b1,0.0,-3769816754.765625,137438953472.0,bupa,10,20000,modal
x1_b2,0.0,-4296788908.6875,137438953472.0,bupa,10,20000,modal
x1_b3,0.0,-1135191924.203125,137438953472.0,bupa,10,20000,modal
x1_b4,0.0,-5142943540.71875,137438953472.0,bupa,10,20000,modal
x1_b5,0.0,-3879692019.859375,137438953472.0,bupa,10,20000,modal
x1_b6,0.0,-2209510507.15625,137438953472.0,bupa,10,20000,modal
x2_b0,0.0,-3824369659.15625,137438953472.0,bupa,10,20000,modal
x2_b1,0.0,-1366092124.953125,137438953472.0,bupa,10,20000,modal
x2_b2,0.0,-6598534255.359375,137438953472.0,bupa,10,20000,modal
x2_b3,0.0,-2541911035.25,137438953472.0,bupa,10,20000,modal
x2_b4,0.0,-3105988937.609375,137438953472.0,bupa,10,20000,modal
x2_b5,0.0,-5881236090.71875,137438953472.0,bupa,10,20000,modal
x2_b6,0.0,-2816941969.453125,137438953472.0,bupa,10,20000,modal
x3_b0,0.0,-3593748597.265625,137438953472.0,bupa,10,20000,modal
x3_b1,0.0,-4279966407.09375,137438953472.0,bupa,10,20000,modal
x3_b2,0.0,-4042372663.828125,137438953472.0,bupa,10,20000,modal
x3_b3,0.0,-7232762836.09375,137438953472.0,bupa,10,20000,modal
x3_b4,0.0,-5400377744.078125,137438953472.0,bupa,10,20000,modal
x3_b5,0.0,-5191733577.03125,137438953472.0,bupa,10,20000,modal
x4_b0,0.0,-4633896457.890625,137438953472.0,bupa,10,20000,modal
x4_b1,0.0,-5347789803.140625,137438953472.0,bupa,10,20000,modal
x4_b2,0.0,-3878854281.921875,137438953472.0,bupa,10,20000,modal
x4_b3,0.0,-2903072823.015625,137438953472.0,bupa,10,20000,modal
x4_b4,0.0,-1377701695.59375,137438953472.0,bupa,10,20000,modal
x4_b5,0.0,-2177189493.953125,137438953472.0,bupa,10,20000,modal
x4_b6,0.0,-2447132111.0,137438953472.0,bupa,10,20000,modal
x5_b0,0.0,-4898332075.890625,137438953472.0,bupa,10,20000,modal
x5_b1,0.0,-2994018348.5,137438953472.0,bupa,10,20000,modal
x5_b2,0.0,-2253106807.25,137438953472.0,bupa,10,20000,modal
x5_b3,0.0,-2081452746.40625,137438953472.0,bupa,10,20000,modal
x5_b4,0.0,-430825012.203125,137438953472.0,bupa,10,20000,modal
x0_b0,0.0,-5239564752.5625,137438953472.0,bupa,5,20000,modal
x0_b1,0.0,-6761838233.890625,137438953472.0,bupa,5,20000,modal
x0_b2,0.0,-2893253144.65625,137438953472.0,bupa,5,20000,modal
x0_b3,0.0,-4648278797.375,137438953472.0,bupa,5,20000,modal
x0_b4,0.0,-1914070768.5,137438953472.0,bupa,5,20000,modal
x1_b0,0.0,-4248596563.96875,137438953472.0,bupa,5,20000,modal
x1_b1,0.0,-3769816754.765625,137438953472.0,bupa,5,20000,modal
x1_b2,0.0,-4296788908.6875,137438953472.0,bupa,5,20000,modal
x1_b3,0.0,-1135191924.203125,137438953472.0,bupa,5,20000,modal
x1_b4,0.0,-5142943540.71875,137438953472.0,bupa,5,20000,modal
x1_b5,0.0,-3879692019.859375,137438953472.0,bupa,5,20000,modal
x1_b6,0.0,-2209510507.15625,137438953472.0,bupa,5,20000,modal
x2_b0,0.0,-3824369659.15625,137438953472.0,bupa,5,20000,modal
x2_b1,0.0,-1366092124.953125,137438953472.0,bupa,5,20000,modal
x2_b2,0.0,-6598534255.359375,137438953472.0,bupa,5,20000,modal
x2_b3,0.0,-2541911035.25,137438953472.0,bupa,5,20000,modal
x2_b4,0.0,-3105988937.609375,137438953472.0,bupa,5,20000,modal
x2_b5,0.0,-5881236090.71875,137438953472.0,bupa,5,20000,modal
x2_b6,0.0,-2816941969.453125,137438953472.0,bupa,5,20000,modal
x3_b0,0.0,-3593748597.265625,137438953472.0,bupa,5,20000,modal
x3_b1,0.0,-4279966407.09375,137438953472.0,bupa,5,20000,modal
x3_b2,0.0,-4042372663.828125,137438953472.0,bupa,5,20000,modal
x3_b3,0.0,-7232762836.09375,137438953472.0,bupa,5,20000,modal
x3_b4,0.0,-5400377744.078125,137438953472.0,bupa,5,20000,modal
x3_b5,0.0,-5191733577.03125,137438953472.0,bupa,5,20000,modal
x4_b0,0.0,-4633896457.890625,137438953472.0,bupa,5,20000,modal
x4_b1,0.0,-5347789803.140625,137438953472.0,bupa,5,20000,modal
x4_b2,0.0,-3878854281.921875,137438953472.0,bupa,5,20000,modal
x4_b3,0.0,-2903072823.015625,137438953472.0,bupa,5,20000,modal
x4_b4,0.0,-1377701695.59375,137438953472.0,bupa,5,20000,modal
x4_b5,0.0,-2177189493.953125,137438953472.0,bupa,5,20000,modal
x4_b6,0.0,-2447132111.0,137438953472.0,bupa,5,20000,modal
x5_b0,0.0,-4898332075.890625,137438953472.0,bupa,5,20000,modal
x5_b1,0.0,-2994018348.5,137438953472.0,bupa,5,20000,modal
x5_b2,0.0,-2253106807.25,137438953472.0,bupa,5,20000,modal
x5_b3,0.0,-2081452746.40625,137438953472.0,bupa,5,20000,modal
x5_b4,0.0,-430825012.203125,137438953472.0,bupa,5,20000,modal
x0_b0,0.0,-93888010813.15623,8796093022208.0,cloud,5,20000,modal
x0_b1,0.0,-245614687993.4844,8796093022208.0,cloud,5,20000,modal
x0_b2,0.0,-122635847877.96877,8796093022208.0,cloud,5,20000,modal
x0_b3,0.0,-170164229232.71875,8796093022208.0,cloud,5,20000,modal
x0_b4,0.0,-182450094534.03125,8796093022208.0,cloud,5,20000,modal
x0_b5,0.0,-155850651729.46875,8796093022208.0,cloud,5,20000,modal
x0_b6,0.0,-368163422872.78125,8796093022208.0,cloud,5,20000,modal
x1_b0,0.0,-269445529170.75,8796093022208.0,cloud,5,20000,modal
x2_b0,0.0,-101287833897.07812,8796093022208.0,cloud,5,20000,modal
x2_b1,0.0,-160363907349.9375,8796093022208.0,cloud,5,20000,modal
x2_b2,0.0,-196733212115.9375,8796093022208.0,cloud,5,20000,modal
x2_b3,0.0,-302188796121.5469,8796093022208.0,cloud,5,20000,modal
x2_b4,0.0,-81419646824.125,8796093022208.0,cloud,5,20000,modal
x2_b5,0.0,-211521549239.5,8796093022208.0,cloud,5,20000,modal
x2_b6,0.0,-130990620968.57812,8796093022208.0,cloud,5,20000,modal
x3_b0,0.0,-162104495191.1875,8796093022208.0,cloud,5,20000,modal
x3_b1,0.0,-140721775232.76562,8796093022208.0,cloud,5,20000,modal
x3_b2,0.0,-102671096198.96877,8796093022208.0,cloud,5,20000,modal
x3_b3,0.0,-247336015976.42188,8796093022208.0,cloud,5,20000,modal
x3_b4,0.0,-299927676097.875,8796093022208.0,cloud,5,20000,modal
x3_b5,0.0,-337929378652.75,8796093022208.0,cloud,5,20000,modal
x3_b6,0.0,-100280329252.07812,8796093022208.0,cloud,5,20000,modal
x4_b0,0.0,-76332757388.48438,8796093022208.0,cloud,5,20000,modal
x4_b1,0.0,-183597585311.67188,8796093022208.0,cloud,5,20000,modal
x4_b2,0.0,-297390153380.21875,8796093022208.0,cloud,5,20000,modal
x4_b3,0.0,-514562384745.4844,8796093022208.0,cloud,5,20000,modal
x4_b4,0.0,-172422829222.85938,8796093022208.0,cloud,5,20000,modal
x4_b5,0.0,-139838360149.15625,8796093022208.0,cloud,5,20000,modal
x4_b6,0.0,-176267320777.70312,8796093022208.0,cloud,5,20000,modal
x5_b0,0.0,-265974106644.9844,8796093022208.0,cloud,5,20000,modal
x5_b1,0.0,-177722318971.5,8796093022208.0,cloud,5,20000,modal
x5_b2,0.0,-120863721727.6875,8796093022208.0,cloud,5,20000,modal
x5_b3,0.0,-288342048231.3281,8796093022208.0,cloud,5,20000,modal
x5_b4,0.0,-113860048765.32812,8796093022208.0,cloud,5,20000,modal
x5_b5,0.0,-154327606670.17188,8796093022208.0,cloud,5,20000,modal
x5_b6,0.0,-295984332214.03125,8796093022208.0,cloud,5,20000,modal
x6_b0,0.0,-417256681766.9219,8796093022208.0,cloud,5,20000,modal
x6_b1,0.0,-99109795374.04688,8796093022208.0,cloud,5,20000,modal
x6_b2,0.0,-212399750583.04688,8796093022208.0,cloud,5,20000,modal
x6_b3,0.0,-244237940485.79688,8796093022208.0,cloud,5,20000,modal
x6_b4,0.0,-167571237054.78125,8796093022208.0,cloud,5,20000,modal
x6_b5,0.0,-305015131554.78125,8796093022208.0,cloud,5,20000,modal
x6_b6,0.0,-189328103843.90625,8796093022208.0,cloud,5,20000,modal
x0_b0,0.0,-142363407242891.78,4503599627370496.0,diabetes,5,20000,modal
x0_b1,0.0,-82586090347430.36,4503599627370496.0,diabetes,5,20000,modal
x0_b2,0.0,-83793250546401.47,4503599627370496.0,diabetes,5,20000,modal
x0_b3,0.0,-80448187401229.17,4503599627370496.0,diabetes,5,20000,modal
x1_b0,0.0,-93317927582696.95,4503599627370496.0,diabetes,5,20000,modal
x1_b1,0.0,-58606171405129.0,4503599627370496.0,diabetes,5,20000,modal
x1_b2,0.0,-72762654013993.17,4503599627370496.0,diabetes,5,20000,modal
x1_b3,0.0,-77583638916999.97,4503599627370496.0,diabetes,5,20000,modal
x1_b4,0.0,-68930003961148.42,4503599627370496.0,diabetes,5,20000,modal
x1_b5,0.0,-163598865369846.0,4503599627370496.0,diabetes,5,20000,modal
x1_b6,0.0,-127502238168854.1,4503599627370496.0,diabetes,5,20000,modal
x2_b0,0.0,-125436801478137.58,4503599627370496.0,diabetes,5,20000,modal
x2_b1,0.0,-34081450349355.61,4503599627370496.0,diabetes,5,20000,modal
x2_b2,0.0,-133705476536262.31,4503599627370496.0,diabetes,5,20000,modal
x2_b3,0.0,-97040685885117.7,4503599627370496.0,diabetes,5,20000,modal
x2_b4,0.0,-101630260975591.38,4503599627370496.0,diabetes,5,20000,modal
x2_b5,0.0,-86281155863589.55,4503599627370496.0,diabetes,5,20000,modal
x3_b0,0.0,-120173848943063.05,4503599627370496.0,diabetes,5,20000,modal
x3_b1,0.0,-131276750537971.16,4503599627370496.0,diabetes,5,20000,modal
x3_b2,0.0,-54031174496044.59,4503599627370496.0,diabetes,5,20000,modal
x3_b3,0.0,-3665444982321.375,4503599627370496.0,diabetes,5,20000,modal
x3_b4,0.0,-135703344278324.4,4503599627370496.0,diabetes,5,20000,modal
x3_b5,0.0,-98854722933837.3,4503599627370496.0,diabetes,5,20000,modal
x4_b0,0.0,-104631806079148.77,4503599627370496.0,diabetes,5,20000,modal
x4_b1,0.0,-82447302566661.39,4503599627370496.0,diabetes,5,20000,modal
x4_b2,0.0,-93033435849018.95,4503599627370496.0,diabetes,5,20000,modal
x4_b3,0.0,-112610068523640.72,4503599627370496.0,diabetes,5,20000,modal
x4_b4,0.0,-47456980791763.66,4503599627370496.0,diabetes,5,20000,modal
x4_b5,0.0,-81201546089362.3,4503599627370496.0,diabetes,5,20000,modal
x4_b6,0.0,-73516983664186.62,4503599627370496.0,diabetes,5,20000,modal
x5_b0,0.0,-63843821275466.45,4503599627370496.0,diabetes,5,20000,modal
x5_b1,0.0,-54904344292931.84,4503599627370496.0,diabetes,5,20000,modal
x5_b2,0.0,-82136525024071.0,4503599627370496.0,diabetes,5,20000,modal
x5_b3,0.0,-99746792575725.28,4503599627370496.0,diabetes,5,20000,modal
x5_b4,0.0,-127478846921738.6,4503599627370496.0,diabetes,5,20000,modal
x5_b5,0.0,-109264158048749.77,4503599627370496.0,diabetes,5,20000,modal
x5_b6,0.0,-72950324107196.27,4503599627370496.0,diabetes,5,20000,modal
x5_b7,0.0,-89457409270526.25,4503599627370496.0,diabetes,5,20000,modal
x6_b0,0.0,-91577607873447.31,4503599627370496.0,diabetes,5,20000,modal
x6_b1,0.0,-13044775612843.377,4503599627370496.0,diabetes,5,20000,modal
x6_b2,0.0,-47551368214732.53,4503599627370496.0,diabetes,5,20000,modal
x6_b3,0.0,-125975305320738.64,4503599627370496.0,diabetes,5,20000,modal
x6_b4,0.0,-22750595213264.56,4503599627370496.0,diabetes,5,20000,modal
x6_b5,0.0,-87241903525427.5,4503599627370496.0,diabetes,5,20000,modal
x6_b6,0.0,-109789521380046.34,4503599627370496.0,diabetes,5,20000,modal
x6_b7,0.0,-94675453568935.98,4503599627370496.0,diabetes,5,20000,modal
x7_b0,0.0,-171414211205082.8,4503599627370496.0,diabetes,5,20000,modal
x7_b1,0.0,-27332536521745.688,4503599627370496.0,diabetes,5,20000,modal
x7_b2,0.0,-104074446360769.66,4503599627370496.0,diabetes,5,20000,modal
x7_b3,0.0,-26992966497328.36,4503599627370496.0,diabetes,5,20000,modal
x7_b4,0.0,-25384337062377.03,4503599627370496.0,diabetes,5,20000,modal
x7_b5,0.0,-87740701717330.92,4503599627370496.0,diabetes,5,20000,modal
x0_b0,0.0,-1024180523.890625,68719476736.0,ecoli,10,20000,modal
x0_b1,0.0,-2711341824.46875,68719476736.0,ecoli,10,20000,modal
x0_b2,0.0,-1167434582.921875,68719476736.0,ecoli,10,20000,modal
x0_b3,0.0,-3601905914.546875,68719476736.0,ecoli,10,20000,modal
x0_b4,0.0,-1531336495.484375,68719476736.0,ecoli,10,20000,modal
x0_b5,0.0,-1955210989.40625,68719476736.0,ecoli,10,20000,modal
x0_b6,0.0,-2191396290.78125,68719476736.0,ecoli,10,20000,modal
