number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
42,0.7622704004817825,2026-06-08 13:34:13.786886,2026-06-08 13:34:13.930174,0 days 00:00:00.143288,gini,5,1,6,53,COMPLETE
43,0.7540399478068855,2026-06-08 13:34:13.930199,2026-06-08 13:34:14.082759,0 days 00:00:00.152560,gini,6,2,4,69,COMPLETE
44,0.7663856268192312,2026-06-08 13:34:14.082786,2026-06-08 13:34:14.231451,0 days 00:00:00.148665,log_loss,5,1,8,61,COMPLETE
45,0.7704506674696376,2026-06-08 13:34:14.231475,2026-06-08 13:34:14.372466,0 days 00:00:00.140991,log_loss,4,2,11,44,COMPLETE
46,0.7499247214694368,2026-06-08 13:34:14.372491,2026-06-08 13:34:14.512706,0 days 00:00:00.140215,log_loss,4,3,12,38,COMPLETE
47,0.7499247214694368,2026-06-08 13:34:14.512732,2026-06-08 13:34:14.610382,0 days 00:00:00.097650,log_loss,3,2,10,31,COMPLETE
48,0.7663354411321892,2026-06-08 13:34:14.610407,2026-06-08 13:34:14.753980,0 days 00:00:00.143573,log_loss,4,2,11,47,COMPLETE
49,0.7704004817825956,2026-06-08 13:34:14.754000,2026-06-08 13:34:14.905525,0 days 00:00:00.151525,log_loss,5,3,9,40,COMPLETE
50,0.7498243500953529,2026-06-08 13:34:14.905553,2026-06-08 13:34:15.048492,0 days 00:00:00.142939,log_loss,5,4,8,41,COMPLETE
51,0.7540901334939276,2026-06-08 13:34:15.048517,2026-06-08 13:34:15.195505,0 days 00:00:00.146988,log_loss,4,3,9,50,COMPLETE
52,0.7704506674696376,2026-06-08 13:34:15.195529,2026-06-08 13:34:15.291665,0 days 00:00:00.096136,log_loss,5,2,10,25,COMPLETE
53,0.758155174144334,2026-06-08 13:34:15.291686,2026-06-08 13:34:15.386975,0 days 00:00:00.095289,log_loss,5,3,11,20,COMPLETE
54,0.7622704004817825,2026-06-08 13:34:15.386997,2026-06-08 13:34:15.484823,0 days 00:00:00.097826,log_loss,5,1,10,25,COMPLETE
55,0.7498745357823949,2026-06-08 13:34:15.484847,2026-06-08 13:34:15.583325,0 days 00:00:00.098478,log_loss,4,2,13,31,COMPLETE
56,0.749924721469437,2026-06-08 13:34:15.583351,2026-06-08 13:34:15.673904,0 days 00:00:00.090553,log_loss,5,2,7,14,COMPLETE
57,0.7663354411321892,2026-06-08 13:34:15.673928,2026-06-08 13:34:15.771756,0 days 00:00:00.097828,log_loss,4,1,9,30,COMPLETE
58,0.7459098665060724,2026-06-08 13:34:15.771778,2026-06-08 13:34:15.863552,0 days 00:00:00.091774,log_loss,3,3,11,10,COMPLETE
59,0.7663354411321892,2026-06-08 13:34:15.863580,2026-06-08 13:34:16.009966,0 days 00:00:00.146386,log_loss,5,2,8,42,COMPLETE
