number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
41,0.9286204529855868,2026-06-08 13:34:47.265206,2026-06-08 13:34:47.458885,0 days 00:00:00.193679,entropy,9,3,5,91,COMPLETE
42,0.9286204529855868,2026-06-08 13:34:47.458905,2026-06-08 13:34:47.648279,0 days 00:00:00.189374,entropy,9,3,6,96,COMPLETE
43,0.9178677648135438,2026-06-08 13:34:47.648303,2026-06-08 13:34:47.854492,0 days 00:00:00.206189,entropy,3,4,6,80,COMPLETE
44,0.9285823228856859,2026-06-08 13:34:47.854517,2026-06-08 13:34:48.049172,0 days 00:00:00.194655,entropy,8,2,3,92,COMPLETE
45,0.9285823228856859,2026-06-08 13:34:48.049195,2026-06-08 13:34:48.241415,0 days 00:00:00.192220,entropy,7,1,7,100,COMPLETE
46,0.9250362235949058,2026-06-08 13:34:48.241435,2026-06-08 13:34:48.433313,0 days 00:00:00.191878,entropy,10,3,12,86,COMPLETE
47,0.9179440250133455,2026-06-08 13:34:48.433337,2026-06-08 13:34:48.630613,0 days 00:00:00.197276,gini,8,4,10,97,COMPLETE
48,0.9179058949134448,2026-06-08 13:34:48.630638,2026-06-08 13:34:48.833448,0 days 00:00:00.202810,log_loss,9,2,8,92,COMPLETE
49,0.924998093495005,2026-06-08 13:34:48.833469,2026-06-08 13:34:48.979026,0 days 00:00:00.145557,entropy,7,5,11,66,COMPLETE
50,0.9321665522763669,2026-06-08 13:34:48.979047,2026-06-08 13:34:49.170299,0 days 00:00:00.191252,entropy,8,3,7,77,COMPLETE
51,0.9321665522763669,2026-06-08 13:34:49.170324,2026-06-08 13:34:49.344508,0 days 00:00:00.174184,entropy,8,3,7,77,COMPLETE
52,0.9179440250133455,2026-06-08 13:34:49.344529,2026-06-08 13:34:49.535079,0 days 00:00:00.190550,entropy,8,2,9,76,COMPLETE
53,0.9179058949134448,2026-06-08 13:34:49.535103,2026-06-08 13:34:49.730217,0 days 00:00:00.195114,entropy,8,4,8,81,COMPLETE
54,0.9285823228856859,2026-06-08 13:34:49.730241,2026-06-08 13:34:49.872955,0 days 00:00:00.142714,entropy,7,3,7,60,COMPLETE
55,0.9321665522763669,2026-06-08 13:34:49.872977,2026-06-08 13:34:50.062086,0 days 00:00:00.189109,entropy,8,3,4,77,COMPLETE
56,0.9285823228856859,2026-06-08 13:34:50.062108,2026-06-08 13:34:50.206041,0 days 00:00:00.143933,entropy,8,2,2,56,COMPLETE
57,0.935750781667048,2026-06-08 13:34:50.206063,2026-06-08 13:34:50.355774,0 days 00:00:00.149711,entropy,6,4,4,70,COMPLETE
58,0.935750781667048,2026-06-08 13:34:50.355793,2026-06-08 13:34:50.502233,0 days 00:00:00.146440,entropy,6,4,3,70,COMPLETE
59,0.9214901243041257,2026-06-08 13:34:50.502254,2026-06-08 13:34:50.647759,0 days 00:00:00.145505,gini,6,4,3,70,COMPLETE
