sample_id,target_label,robustness,changed_bits,untargeted_radius,dataset,trees,budget,selector
4,1,0.0,,1.0,appendicitis,5,20000,random_node
5,0,3.0,"x2_b3,x2_b4,x6_b5",3.0,appendicitis,5,20000,random_node
5,1,0.0,,3.0,appendicitis,5,20000,random_node
6,0,2.0,"x2_b3,x6_b5",2.0,appendicitis,5,20000,random_node
6,1,0.0,,2.0,appendicitis,5,20000,random_node
7,0,3.0,"x2_b0,x2_b3,x5_b2",3.0,appendicitis,5,20000,random_node
7,1,0.0,,3.0,appendicitis,5,20000,random_node
8,0,3.0,"x2_b0,x4_b4,x5_b4",3.0,appendicitis,5,20000,random_node
8,1,0.0,,3.0,appendicitis,5,20000,random_node
9,0,3.0,"x2_b4,x6_b3,x6_b4",3.0,appendicitis,5,20000,random_node
9,1,0.0,,3.0,appendicitis,5,20000,random_node
0,0,3.0,"x2_b3,x2_b4,x6_b5",3.0,appendicitis,5,20000,shapley
0,1,0.0,,3.0,appendicitis,5,20000,shapley
1,0,1.0,x2_b0,1.0,appendicitis,5,20000,shapley
1,1,0.0,,1.0,appendicitis,5,20000,shapley
2,0,0.0,,1.0,appendicitis,5,20000,shapley
2,1,1.0,x6_b5,1.0,appendicitis,5,20000,shapley
3,0,3.0,"x2_b3,x2_b4,x6_b5",3.0,appendicitis,5,20000,shapley
3,1,0.0,,3.0,appendicitis,5,20000,shapley
4,0,1.0,x2_b3,1.0,appendicitis,5,20000,shapley
4,1,0.0,,1.0,appendicitis,5,20000,shapley
5,0,3.0,"x2_b3,x2_b4,x6_b5",3.0,appendicitis,5,20000,shapley
5,1,0.0,,3.0,appendicitis,5,20000,shapley
6,0,2.0,"x2_b3,x6_b5",2.0,appendicitis,5,20000,shapley
6,1,0.0,,2.0,appendicitis,5,20000,shapley
7,0,3.0,"x2_b0,x2_b3,x5_b2",3.0,appendicitis,5,20000,shapley
7,1,0.0,,3.0,appendicitis,5,20000,shapley
8,0,3.0,"x2_b0,x4_b4,x5_b4",3.0,appendicitis,5,20000,shapley
8,1,0.0,,3.0,appendicitis,5,20000,shapley
9,0,3.0,"x2_b4,x6_b3,x6_b4",3.0,appendicitis,5,20000,shapley
9,1,0.0,,3.0,appendicitis,5,20000,shapley
0,0,0.0,,2.0,banknote,10,20000,info_gain
0,1,2.0,x0_b7,2.0,banknote,10,20000,info_gain
1,0,1.0,x2_b7,1.0,banknote,10,20000,info_gain
1,1,0.0,,1.0,banknote,10,20000,info_gain
2,0,0.0,,1.0,banknote,10,20000,info_gain
2,1,1.0,,1.0,banknote,10,20000,info_gain
3,0,1.0,x2_b7,1.0,banknote,10,20000,info_gain
3,1,0.0,,1.0,banknote,10,20000,info_gain
4,0,1.0,x1_b7,1.0,banknote,10,20000,info_gain
4,1,0.0,,1.0,banknote,10,20000,info_gain
5,0,1.0,x2_b7,1.0,banknote,10,20000,info_gain
5,1,0.0,,1.0,banknote,10,20000,info_gain
6,0,0.0,,2.0,banknote,10,20000,info_gain
6,1,2.0,x0_b7,2.0,banknote,10,20000,info_gain
7,0,0.0,,1.0,banknote,10,20000,info_gain
7,1,1.0,x1_b7,1.0,banknote,10,20000,info_gain
8,0,0.0,,1.0,banknote,10,20000,info_gain
8,1,1.0,x1_b6,1.0,banknote,10,20000,info_gain
9,0,1.0,x0_b7,1.0,banknote,10,20000,info_gain
9,1,0.0,,1.0,banknote,10,20000,info_gain
0,0,0.0,,2.0,banknote,10,20000,modal
0,1,2.0,x0_b7,2.0,banknote,10,20000,modal
1,0,1.0,x2_b7,1.0,banknote,10,20000,modal
1,1,0.0,,1.0,banknote,10,20000,modal
2,0,0.0,,1.0,banknote,10,20000,modal
2,1,1.0,,1.0,banknote,10,20000,modal
