budget,dataset,elapsed_seconds,message,run_dir,selector,status,timeout_seconds,trees
20000,breast-cancer,2.022704699999963,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_modal,modal,completed,300,5
20000,breast-cancer,1.9541360000002896,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_p_value,p_value,completed,300,5
20000,breast-cancer,1.8642737999998644,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_random_node,random_node,completed,300,5
20000,breast-cancer,2.037265199999638,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_shapley,shapley,completed,300,5
20000,bupa,300.0571737999999,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_info_gain,info_gain,timeout,300,10
20000,bupa,300.1053481,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_modal,modal,timeout,300,10
20000,bupa,300.0794999,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_p_value,p_value,timeout,300,10
20000,bupa,300.1364439000008,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_random_node,random_node,timeout,300,10
20000,bupa,300.17527169999994,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_shapley,shapley,timeout,300,10
20000,bupa,74.14714219999951,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_info_gain,info_gain,completed,300,5
20000,bupa,73.04812269999991,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_modal,modal,completed,300,5
20000,bupa,81.5483391000007,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_p_value,p_value,completed,300,5
20000,bupa,101.08292749999964,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_random_node,random_node,completed,300,5
20000,bupa,300.23102990000007,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_shapley,shapley,timeout,300,5
20000,ecoli,300.0149757999998,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_info_gain,info_gain,timeout,300,10
20000,ecoli,300.0100320999999,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_modal,modal,timeout,300,10
20000,ecoli,300.0287625000001,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_p_value,p_value,timeout,300,10
20000,ecoli,300.2969327999999,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_random_node,random_node,timeout,300,10
20000,ecoli,300.13242510000055,stopped after threshold of 300 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_10\B_20000\selector_shapley,shapley,timeout,300,10
20000,ecoli,11.7189886999995,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_info_gain,info_gain,completed,300,5
20000,ecoli,16.783025199999997,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_modal,modal,completed,300,5
20000,ecoli,9.349562999999762,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_p_value,p_value,completed,300,5
20000,ecoli,20.98321810000016,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_random_node,random_node,completed,300,5
20000,ecoli,27.15692730000046,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_shapley,shapley,completed,300,5
