dataset,trees,budget,selector,status,elapsed_seconds,timeout_seconds,run_dir,message
mofn-3-7-10,5,20000,modal,completed,2.194353099999944,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_5\B_20000\selector_modal,
mofn-3-7-10,10,20000,modal,completed,2.3515486000001147,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_10\B_20000\selector_modal,
new-thyroid,5,20000,modal,completed,2.2229858999999124,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_5\B_20000\selector_modal,
new-thyroid,10,20000,modal,completed,11.814434299999903,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_10\B_20000\selector_modal,
seismic_bumps,5,20000,modal,completed,3.112120799999957,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_5\B_20000\selector_modal,
seismic_bumps,10,20000,modal,completed,63.42922219999991,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_10\B_20000\selector_modal,
spect,5,20000,modal,completed,1.9620597999999063,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_5\B_20000\selector_modal,
spect,10,20000,modal,completed,2.1353033000000323,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_10\B_20000\selector_modal,
threeOf9,5,20000,modal,completed,1.9456124999999247,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_5\B_20000\selector_modal,
threeOf9,10,20000,modal,completed,2.009582799999862,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_10\B_20000\selector_modal,
xd6,5,20000,modal,completed,1.9543585999999777,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_5\B_20000\selector_modal,
xd6,10,20000,modal,completed,2.0802071000000524,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_10\B_20000\selector_modal,
appendicitis,5,20000,info_gain,completed,1.9723272999999608,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_info_gain,
appendicitis,5,20000,shapley,completed,1.9536748999998963,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_shapley,
