dataset,trees_requested,trees_composed,budget,selector,frontier_leaves,peak_nodes,splits,runtime_seconds,input_bits,labels,run_dir
lupus,5,5,20000,modal,1,292,0,1.152635299999929,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_5\B_20000\selector_modal
lupus,5,5,20000,p_value,1,292,0,1.0968547000011313,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_5\B_20000\selector_p_value
lupus,5,5,20000,random_node,1,292,0,1.0714626999997563,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_5\B_20000\selector_random_node
lupus,5,5,20000,shapley,1,292,0,1.094998399999895,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_5\B_20000\selector_shapley
mammo,10,10,20000,info_gain,1,1309,0,1.146690599998692,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_10\B_20000\selector_info_gain
mammo,10,10,20000,modal,1,1309,0,1.1734134999999242,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_10\B_20000\selector_modal
mammo,10,10,20000,p_value,1,1309,0,1.12720679999984,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_10\B_20000\selector_p_value
mammo,10,10,20000,random_node,1,1309,0,1.1003985999996075,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_10\B_20000\selector_random_node
mammo,10,10,20000,shapley,1,1309,0,1.1014529000003677,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_10\B_20000\selector_shapley
mammo,5,5,20000,info_gain,1,426,0,1.1219311999993806,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_5\B_20000\selector_info_gain
mammo,5,5,20000,modal,1,426,0,1.238949699999921,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_5\B_20000\selector_modal
mammo,5,5,20000,p_value,1,426,0,1.1786099999990256,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_5\B_20000\selector_p_value
mammo,5,5,20000,random_node,1,426,0,1.1727820000014617,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_5\B_20000\selector_random_node
mammo,5,5,20000,shapley,1,426,0,1.047527499998978,13,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_5\B_20000\selector_shapley
mofn-3-7-10,10,10,20000,info_gain,1,881,0,1.406410900000992,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_10\B_20000\selector_info_gain
mofn-3-7-10,10,10,20000,modal,1,881,0,1.3315507000002071,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_10\B_20000\selector_modal
mofn-3-7-10,10,10,20000,p_value,1,881,0,1.353031099999498,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_10\B_20000\selector_p_value
mofn-3-7-10,10,10,20000,random_node,1,881,0,1.4276256000011929,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_10\B_20000\selector_random_node
mofn-3-7-10,10,10,20000,shapley,1,881,0,1.2893071999988024,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_10\B_20000\selector_shapley
mofn-3-7-10,5,5,20000,info_gain,1,573,0,1.2312361000003875,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_5\B_20000\selector_info_gain
mofn-3-7-10,5,5,20000,modal,1,573,0,1.3076538000000255,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_5\B_20000\selector_modal
mofn-3-7-10,5,5,20000,p_value,1,573,0,1.2151338999992731,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_5\B_20000\selector_p_value
mofn-3-7-10,5,5,20000,random_node,1,573,0,1.3458011000002443,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_5\B_20000\selector_random_node
mofn-3-7-10,5,5,20000,shapley,1,573,0,1.3089326999997866,10,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_5\B_20000\selector_shapley
new-thyroid,10,10,20000,info_gain,105,35000,104,4.869170800000575,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_10\B_20000\selector_info_gain
new-thyroid,10,10,20000,modal,105,35000,104,5.139294299999847,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_10\B_20000\selector_modal
new-thyroid,10,10,20000,p_value,105,35000,104,4.542269499999748,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_10\B_20000\selector_p_value
new-thyroid,10,10,20000,random_node,24,28274,23,5.235980600000403,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_10\B_20000\selector_random_node
new-thyroid,10,10,20000,shapley,33,34527,32,9.775161300000036,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_10\B_20000\selector_shapley
new-thyroid,5,5,20000,info_gain,1,9426,0,1.3635088999999423,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_5\B_20000\selector_info_gain
new-thyroid,5,5,20000,modal,1,9426,0,1.2219044999999369,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_5\B_20000\selector_modal
new-thyroid,5,5,20000,p_value,1,9426,0,1.1272449999996752,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_5\B_20000\selector_p_value
new-thyroid,5,5,20000,random_node,1,9426,0,1.14000440000018,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_5\B_20000\selector_random_node
new-thyroid,5,5,20000,shapley,1,9426,0,1.289752299999236,28,0|1|2,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_5\B_20000\selector_shapley
seismic_bumps,10,10,20000,info_gain,1626,33898,1625,47.88026530000025,67,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_10\B_20000\selector_info_gain
seismic_bumps,10,10,20000,modal,1626,33898,1625,34.82428709999999,67,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_10\B_20000\selector_modal
seismic_bumps,10,10,20000,p_value,1626,33898,1625,40.459499499998856,67,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_10\B_20000\selector_p_value
seismic_bumps,5,5,20000,info_gain,1,11936,0,1.5958086999999068,67,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_5\B_20000\selector_info_gain
seismic_bumps,5,5,20000,modal,1,11936,0,1.8625769000000216,67,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_5\B_20000\selector_modal
seismic_bumps,5,5,20000,p_value,1,11936,0,1.5262990000010177,67,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_5\B_20000\selector_p_value
seismic_bumps,5,5,20000,random_node,1,11936,0,1.812358099999983,67,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_5\B_20000\selector_random_node
seismic_bumps,5,5,20000,shapley,1,11936,0,1.5972856000007596,67,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\seismic_bumps\trees_5\B_20000\selector_shapley
spect,10,10,20000,info_gain,1,5473,0,1.242149599998811,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_10\B_20000\selector_info_gain
spect,10,10,20000,modal,1,5473,0,1.271188200000097,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_10\B_20000\selector_modal
spect,10,10,20000,p_value,1,5473,0,1.3493316999993112,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_10\B_20000\selector_p_value
spect,10,10,20000,random_node,1,5473,0,1.3970720999986952,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_10\B_20000\selector_random_node
spect,10,10,20000,shapley,1,5473,0,1.225399800001469,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_10\B_20000\selector_shapley
spect,5,5,20000,info_gain,1,468,0,1.7457505999991554,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_5\B_20000\selector_info_gain
spect,5,5,20000,modal,1,468,0,1.1581332000000657,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_5\B_20000\selector_modal
spect,5,5,20000,p_value,1,468,0,1.2629828000008274,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_5\B_20000\selector_p_value
spect,5,5,20000,random_node,1,468,0,1.1658576999998331,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_5\B_20000\selector_random_node
spect,5,5,20000,shapley,1,468,0,1.1431135999991966,22,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\spect\trees_5\B_20000\selector_shapley
threeOf9,10,10,20000,info_gain,1,295,0,1.148368500000288,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_10\B_20000\selector_info_gain
threeOf9,10,10,20000,modal,1,295,0,1.1998424000000796,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_10\B_20000\selector_modal
threeOf9,10,10,20000,p_value,1,295,0,1.0675127999984395,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_10\B_20000\selector_p_value
threeOf9,10,10,20000,random_node,1,295,0,1.1573613999989902,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_10\B_20000\selector_random_node
threeOf9,10,10,20000,shapley,1,295,0,1.0703121999995346,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_10\B_20000\selector_shapley
threeOf9,5,5,20000,info_gain,1,201,0,1.1896624000000884,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_5\B_20000\selector_info_gain
threeOf9,5,5,20000,modal,1,201,0,1.0894846000001053,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_5\B_20000\selector_modal
threeOf9,5,5,20000,p_value,1,201,0,1.071705300000758,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_5\B_20000\selector_p_value
threeOf9,5,5,20000,random_node,1,201,0,1.0662587999995594,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_5\B_20000\selector_random_node
threeOf9,5,5,20000,shapley,1,201,0,1.084862100000464,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\threeOf9\trees_5\B_20000\selector_shapley
xd6,10,10,20000,info_gain,1,520,0,1.124171600000409,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_10\B_20000\selector_info_gain
xd6,10,10,20000,modal,1,520,0,1.146571899999799,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_10\B_20000\selector_modal
xd6,10,10,20000,p_value,1,520,0,1.211534300000494,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_10\B_20000\selector_p_value
xd6,10,10,20000,random_node,1,520,0,1.2054324000000634,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_10\B_20000\selector_random_node
xd6,10,10,20000,shapley,1,520,0,1.2783115000002,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_10\B_20000\selector_shapley
xd6,5,5,20000,info_gain,1,373,0,1.113335799998822,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_5\B_20000\selector_info_gain
xd6,5,5,20000,modal,1,373,0,1.1578498999999738,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_5\B_20000\selector_modal
xd6,5,5,20000,p_value,1,373,0,1.10467460000109,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_5\B_20000\selector_p_value
xd6,5,5,20000,random_node,1,373,0,1.1302405999995244,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_5\B_20000\selector_random_node
xd6,5,5,20000,shapley,1,373,0,1.1108887999998842,9,0|1,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\xd6\trees_5\B_20000\selector_shapley
