sample_id,target_label,robustness,changed_bits,untargeted_radius
0,0,3.0,"x2_b3,x2_b4,x6_b5",3.0
0,1,0.0,,3.0
1,0,1.0,x2_b0,1.0
1,1,0.0,,1.0
2,0,0.0,,1.0
2,1,1.0,x6_b5,1.0
3,0,3.0,"x2_b3,x2_b4,x6_b5",3.0
3,1,0.0,,3.0
4,0,1.0,x2_b3,1.0
4,1,0.0,,1.0
5,0,3.0,"x2_b3,x2_b4,x6_b5",3.0
5,1,0.0,,3.0
6,0,2.0,"x2_b3,x6_b5",2.0
6,1,0.0,,2.0
7,0,3.0,"x2_b0,x2_b3,x5_b2",3.0
7,1,0.0,,3.0
8,0,3.0,"x2_b0,x4_b4,x5_b4",3.0
8,1,0.0,,3.0
9,0,3.0,"x2_b4,x6_b3,x6_b4",3.0
9,1,0.0,,3.0
